"locus","Site","raw_count","adj_count","raw_prop","adj_prop","raw_sum","adj_sum","Country","Region","Study"
"KL64","CHRFDSH",4,2,0.015748031496063,0.025974025974026,254,77,"Bangladesh","Southern Asia","CHRF"
"KL3","CHRFDSH",2,2,0.0078740157480315,0.025974025974026,254,77,"Bangladesh","Southern Asia","CHRF"
"KL112","CHRFDSH",2,2,0.0078740157480315,0.025974025974026,254,77,"Bangladesh","Southern Asia","CHRF"
"KL15","CHRFKWMCH",8,2,0.470588235294118,0.181818181818182,17,11,"Bangladesh","Southern Asia","CHRF"
"KL54","CHRFDSH",9,2,0.0354330708661417,0.025974025974026,254,77,"Bangladesh","Southern Asia","CHRF"
"KL122","CHRFDSH",5,2,0.0196850393700787,0.025974025974026,254,77,"Bangladesh","Southern Asia","CHRF"
"KL36","CHRFDSH",6,2,0.0236220472440945,0.025974025974026,254,77,"Bangladesh","Southern Asia","CHRF"
"KL17","CHRFDSH",3,2,0.0118110236220472,0.025974025974026,254,77,"Bangladesh","Southern Asia","CHRF"
"KL128","BABC",2,2,0.117647058823529,0.142857142857143,17,14,"Bangladesh","Southern Asia","BARNARDS"
"KL38","BABC",2,2,0.117647058823529,0.142857142857143,17,14,"Bangladesh","Southern Asia","BARNARDS"
"KL24","BAES",3,2,0.0319148936170213,0.1,94,20,"Ethiopia","Eastern Africa","BARNARDS"
"KL15","BAES",29,2,0.308510638297872,0.1,94,20,"Ethiopia","Eastern Africa","BARNARDS"
"KL39","BAES",8,2,0.0851063829787234,0.1,94,20,"Ethiopia","Eastern Africa","BARNARDS"
"KL15","BANK",2,2,0.125,0.153846153846154,16,13,"Nigeria","Western Africa","BARNARDS"
"KL57","BANK",3,2,0.1875,0.153846153846154,16,13,"Nigeria","Western Africa","BARNARDS"
"KL62","BANN",2,2,0.0588235294117647,0.08,34,25,"Nigeria","Western Africa","BARNARDS"
"KL2","BANN",2,2,0.0588235294117647,0.08,34,25,"Nigeria","Western Africa","BARNARDS"
"KL116","BANN",3,2,0.0882352941176471,0.08,34,25,"Nigeria","Western Africa","BARNARDS"
