"locus","Site","raw_count","adj_count","raw_prop","adj_prop","raw_sum","adj_sum","Country","Region","Study"
"O2afg.v2","BGHOSPITAL 3",3,3,0.125,0.15,24,20,"South Africa","Southern Africa","BabyGERMS"
"O1.v1","BGHOSPITAL 4",5,3,0.227272727272727,0.272727272727273,22,11,"South Africa","Southern Africa","BabyGERMS"
"O1.v2","BGHOSPITAL 5",3,3,0.142857142857143,0.214285714285714,21,14,"South Africa","Southern Africa","BabyGERMS"
"O2afg.v2","BGHOSPITAL 1",6,3,0.176470588235294,0.214285714285714,34,14,"South Africa","Southern Africa","BabyGERMS"
"O5","BGHOSPITAL 2",3,3,0.107142857142857,0.1875,28,16,"South Africa","Southern Africa","BabyGERMS"
"O1.v2","BGHOSPITAL 4",7,3,0.318181818181818,0.272727272727273,22,11,"South Africa","Southern Africa","BabyGERMS"
"O5","BGHOSPITAL 6",3,3,0.214285714285714,0.25,14,12,"South Africa","Southern Africa","BabyGERMS"
"O1.v1","BGHOSPITAL 6",3,3,0.214285714285714,0.25,14,12,"South Africa","Southern Africa","BabyGERMS"
"O1.v1","PMH_Botswana",18,3,0.620689655172414,0.25,29,12,"Botswana","Southern Africa","Botswana"
"O5","CHRFDSH",3,3,0.0118110236220472,0.038961038961039,254,77,"Bangladesh","Southern Asia","CHRF"
"O3/O3a","CHRFDSH",7,3,0.0275590551181102,0.038961038961039,254,77,"Bangladesh","Southern Asia","CHRF"
"O4","CHRFKWMCH",9,3,0.529411764705882,0.272727272727273,17,11,"Bangladesh","Southern Asia","CHRF"
"O1.v1","BABC",6,3,0.352941176470588,0.214285714285714,17,14,"Bangladesh","Southern Asia","BARNARDS"
"O2a.v1","BANN",6,3,0.176470588235294,0.12,34,25,"Nigeria","Western Africa","BARNARDS"
"O2a.v1","SPINZ_Lusaka",5,3,0.0174825174825175,0.107142857142857,286,28,"Zambia","Eastern Africa","SPINZ"
"O3b","SPINZ_Lusaka",3,3,0.0104895104895105,0.107142857142857,286,28,"Zambia","Eastern Africa","SPINZ"
"O1.v2","Mbagathi",4,3,0.2,0.333333333333333,20,9,"Kenya","Eastern Africa","NeoBAC"
"O2afg.v2","AKU_Karachi",4,3,0.117647058823529,0.1,34,30,"Pakistan","Southern Asia","AKU"
"O5","AKU_Karachi",3,3,0.0882352941176471,0.1,34,30,"Pakistan","Southern Asia","AKU"
"O2a.v1","AKU_Quetta",3,3,0.3,0.333333333333333,10,9,"Pakistan","Southern Asia","AKU"
"O2afg.v2","MBKorle Bu Hospital",7,3,0.269230769230769,0.176470588235294,26,17,"Ghana","Western Africa","MBIRA"
"O4","MBUniversity Teaching Hospital",6,3,0.31578947368421,0.230769230769231,19,13,"Zambia","Eastern Africa","MBIRA"
"O2a.v1","MBQueen Elizabeth Central Hospital",4,3,0.181818181818182,0.166666666666667,22,18,"Malawi","Eastern Africa","MBIRA"
"O2afg.v2","MBQueen Elizabeth Central Hospital",3,3,0.136363636363636,0.166666666666667,22,18,"Malawi","Eastern Africa","MBIRA"
"O2a.v1","BGHOSPITAL 3",2,2,0.0833333333333333,0.1,24,20,"South Africa","Southern Africa","BabyGERMS"
"O4","BGHOSPITAL 1",17,2,0.5,0.142857142857143,34,14,"South Africa","Southern Africa","BabyGERMS"
"O2afg.v2","BGHOSPITAL 2",2,2,0.0714285714285714,0.125,28,16,"South Africa","Southern Africa","BabyGERMS"
"O3/O3a","PMH_Botswana",3,2,0.103448275862069,0.166666666666667,29,12,"Botswana","Southern Africa","Botswana"
"O1.v2","PMH_Botswana",2,2,0.0689655172413793,0.166666666666667,29,12,"Botswana","Southern Africa","Botswana"
"O5","PMH_Botswana",3,2,0.103448275862069,0.166666666666667,29,12,"Botswana","Southern Africa","Botswana"
"O2a.v1","CHRFCMOSH",4,2,0.222222222222222,0.142857142857143,18,14,"Bangladesh","Southern Asia","CHRF"
"O1.v2","CHRFCMOSH",2,2,0.111111111111111,0.142857142857143,18,14,"Bangladesh","Southern Asia","CHRF"
"O2a.v1","CHRFKWMCH",2,2,0.117647058823529,0.181818181818182,17,11,"Bangladesh","Southern Asia","CHRF"
"O2afg.v2","BABC",2,2,0.117647058823529,0.142857142857143,17,14,"Bangladesh","Southern Asia","BARNARDS"
"O2a.v1","BAES",3,2,0.0319148936170213,0.0952380952380952,94,21,"Ethiopia","Eastern Africa","BARNARDS"
"O4","BAES",28,2,0.297872340425532,0.0952380952380952,94,21,"Ethiopia","Eastern Africa","BARNARDS"
"OL13","BANK",3,2,0.1875,0.153846153846154,16,13,"Nigeria","Western Africa","BARNARDS"
"O4","BANK",2,2,0.125,0.153846153846154,16,13,"Nigeria","Western Africa","BARNARDS"
"O3b","BANK",3,2,0.1875,0.153846153846154,16,13,"Nigeria","Western Africa","BARNARDS"
"O2afg.v2","BAPP",2,2,0.0666666666666667,0.0952380952380952,30,21,"Pakistan","Southern Asia","BARNARDS"
"O1.v2","BAPP",3,2,0.1,0.0952380952380952,30,21,"Pakistan","Southern Asia","BARNARDS"
"O3b","BARK",2,2,0.133333333333333,0.166666666666667,15,12,"Rwanda","Eastern Africa","BARNARDS"
"O1.v2","BARK",2,2,0.133333333333333,0.166666666666667,15,12,"Rwanda","Eastern Africa","BARNARDS"
"O1.v2","BAZAT",2,2,0.166666666666667,0.166666666666667,12,12,"South Africa","Southern Africa","BARNARDS"
"O1.v2","SPINZ_Lusaka",8,2,0.027972027972028,0.0714285714285714,286,28,"Zambia","Eastern Africa","SPINZ"
"OL13","SPINZ_Lusaka",10,2,0.034965034965035,0.0714285714285714,286,28,"Zambia","Eastern Africa","SPINZ"
"O4","HOSPITAL 1",2,2,0.04,0.0645161290322581,50,31,"South Africa","Southern Africa","GBS"
"O3/O3a","Kilifi",2,2,0.0119047619047619,0.0178571428571429,168,112,"Kenya","Eastern Africa","Kilifi"
"O1.v2","AKU_Quetta",2,2,0.2,0.222222222222222,10,9,"Pakistan","Southern Asia","AKU"
"OL13","AKU_Hyderabaad",8,2,0.615384615384615,0.285714285714286,13,7,"Pakistan","Southern Asia","AKU"
"OL13","AKU_Karachi",3,2,0.0882352941176471,0.0666666666666667,34,30,"Pakistan","Southern Asia","AKU"
"O3/O3a","AKU_Karachi",2,2,0.0588235294117647,0.0666666666666667,34,30,"Pakistan","Southern Asia","AKU"
"O2a.v1","AKU_Hyderabaad",2,2,0.153846153846154,0.285714285714286,13,7,"Pakistan","Southern Asia","AKU"
