locus,Site,raw_count,adj_count,raw_prop,adj_prop,raw_sum,adj_sum,Start,End,cases,numClusters,Country,Study,Region
O3/O3a,BAPP,1,1,0.0333333333333333,0.0476190476190476,30,21,2016,2017,30,20,Pakistan,BARNARDS,Southern Asia
O3b,BAPP,1,1,0.0333333333333333,0.0476190476190476,30,21,2016,2017,30,20,Pakistan,BARNARDS,Southern Asia
O4,SPINZ_Lusaka,1,1,0.00350877192982456,0.0357142857142857,285,28,2015,2017,286,26,Zambia,SPINZ,Eastern Africa
O4,HOSPITAL 1,1,1,0.0222222222222222,0.0384615384615385,45,26,2019,2020,50,31,South Africa,GBS,Southern Africa
OL13,JIPMER,1,1,0.027027027027027,0.05,37,20,2019,2020,42,24,India,NeoOBS,Southern Asia
OL103,JIPMER,1,1,0.027027027027027,0.05,37,20,2019,2020,42,24,India,NeoOBS,Southern Asia
OL13,KEM-MUMBAI,1,1,0.0476190476190476,0.0588235294117647,21,17,2019,2020,22,18,India,NeoOBS,Southern Asia
O3b,KEM-MUMBAI,1,1,0.0476190476190476,0.0588235294117647,21,17,2019,2020,22,18,India,NeoOBS,Southern Asia
O1.v2,Kiambu sub-County Hospital,2,1,0.0465116279069767,0.166666666666667,43,6,2021,2022,46,6,Kenya,NeoBAC,Eastern Africa
O3/O3a,Kilifi,1,1,0.00689655172413793,0.0112359550561798,145,89,2013,2023,168,112,Kenya,Kilifi,Eastern Africa
O2a.v1,Kiambu sub-County Hospital,26,1,0.604651162790698,0.166666666666667,43,6,2021,2022,46,6,Kenya,NeoBAC,Eastern Africa
O3b,AKU_Quetta,1,1,0.1,0.111111111111111,10,9,2023,2023,10,9,Pakistan,AKU,Southern Asia
O3/O3a,AKU_Hyderabaad,1,1,0.0769230769230769,0.142857142857143,13,7,2023,2023,13,7,Pakistan,AKU,Southern Asia
OL13,AKU_Quetta,1,1,0.1,0.111111111111111,10,9,2023,2023,10,9,Pakistan,AKU,Southern Asia
O2a.v1,AKU_Karachi,1,1,0.03125,0.0357142857142857,32,28,2023,2023,34,30,Pakistan,AKU,Southern Asia
O3/O3a,AKU_Quetta,2,1,0.2,0.111111111111111,10,9,2023,2023,10,9,Pakistan,AKU,Southern Asia
O4,AKU_Quetta,1,1,0.1,0.111111111111111,10,9,2023,2023,10,9,Pakistan,AKU,Southern Asia
O1.v1,AIDH2,1,1,0.0303030303030303,0.0909090909090909,33,11,2019,2022,34,12,India,AIIMS,Southern Asia
OL103,AIDH2,6,1,0.181818181818182,0.0909090909090909,33,11,2019,2022,34,12,India,AIIMS,Southern Asia
O3/O3a,AIDH2,5,1,0.151515151515152,0.0909090909090909,33,11,2019,2022,34,12,India,AIIMS,Southern Asia
O4,AIDH2,6,1,0.181818181818182,0.0909090909090909,33,11,2019,2022,34,12,India,AIIMS,Southern Asia
O3b,AIDH2,1,1,0.0303030303030303,0.0909090909090909,33,11,2019,2022,34,12,India,AIIMS,Southern Asia
O3/O3a,MBKorle Bu Hospital,1,1,0.0454545454545455,0.0769230769230769,22,13,2020,2021,26,17,Ghana,MBIRA,Western Africa
O3b,MBUniversity Teaching Hospital,1,1,0.0555555555555556,0.0833333333333333,18,12,2021,2021,19,13,Zambia,MBIRA,Eastern Africa
OL104,MBUniversity Teaching Hospital,1,1,0.0555555555555556,0.0833333333333333,18,12,2021,2021,19,13,Zambia,MBIRA,Eastern Africa
O2afg.v2,MBUniversity Teaching Hospital,2,1,0.111111111111111,0.0833333333333333,18,12,2021,2021,19,13,Zambia,MBIRA,Eastern Africa
O1.v1,MBHiwot Fa Hospital,1,1,0.04,0.125,25,8,2021,2021,30,13,Ethiopia,MBIRA,Eastern Africa
O4,MBHiwot Fa Hospital,1,1,0.04,0.125,25,8,2021,2021,30,13,Ethiopia,MBIRA,Eastern Africa
OL13,MBHiwot Fa Hospital,1,1,0.04,0.125,25,8,2021,2021,30,13,Ethiopia,MBIRA,Eastern Africa
O2afg.v2,MBKilimanjaro Christian Medical Centre,1,1,0.0175438596491228,0.142857142857143,57,7,2021,2021,57,7,Tanzania,MBIRA,Eastern Africa
