locus,Site,raw_count,adj_count,raw_prop,adj_prop,raw_sum,adj_sum,Country,Region
O4,MBUniversity Teaching Hospital,6,3,0.352941176470588,0.25,17,12,Zambia,Eastern Africa
O1.v1,MBHiwot Fana Hospital,3,3,0.0967741935483871,0.230769230769231,31,13,Ethiopia,Eastern Africa
OL13,MBHiwot Fana Hospital,3,3,0.0967741935483871,0.230769230769231,31,13,Ethiopia,Eastern Africa
O1.v2,MBHiwot Fana Hospital,10,3,0.32258064516129,0.230769230769231,31,13,Ethiopia,Eastern Africa
O2a.v1,MBQueen Elizabeth Central Hospital,4,3,0.19047619047619,0.176470588235294,21,17,Malawi,Eastern Africa
O2a.v1,BGHOSPITAL 3,2,2,0.0833333333333333,0.1,24,20,South Africa,Southern Africa
O4,BGHOSPITAL 1,17,2,0.5,0.142857142857143,34,14,South Africa,Southern Africa
O2afg.v2,BGHOSPITAL 2,2,2,0.0714285714285714,0.125,28,16,South Africa,Southern Africa
O2a.v1,PMH_Botswana,4,2,0.173913043478261,0.181818181818182,23,11,Botswana,Southern Africa
O3/O3a,Blantyre,2,2,0.00615384615384615,0.0173913043478261,325,115,Malawi,Eastern Africa
O5,Blantyre,3,2,0.00923076923076923,0.0173913043478261,325,115,Malawi,Eastern Africa
O2a.v1,Blantyre,2,2,0.00615384615384615,0.0173913043478261,325,115,Malawi,Eastern Africa
O2a.v1,CHRFCMOSH,4,2,0.222222222222222,0.142857142857143,18,14,Bangladesh,Southern Asia
O1.v2,CHRFCMOSH,2,2,0.111111111111111,0.142857142857143,18,14,Bangladesh,Southern Asia
O2a.v1,CHRFKWMCH,2,2,0.117647058823529,0.181818181818182,17,11,Bangladesh,Southern Asia
O2afg.v2,BABC,2,2,0.117647058823529,0.142857142857143,17,14,Bangladesh,Southern Asia
O2a.v1,BAES,3,2,0.0319148936170213,0.0952380952380952,94,21,Ethiopia,Eastern Africa
O4,BAES,28,2,0.297872340425532,0.0952380952380952,94,21,Ethiopia,Eastern Africa
OL13,BANK,3,2,0.1875,0.153846153846154,16,13,Nigeria,Western Africa
O4,BANK,2,2,0.125,0.153846153846154,16,13,Nigeria,Western Africa
O3b,BANK,3,2,0.1875,0.153846153846154,16,13,Nigeria,Western Africa
O2afg.v2,BAPP,2,2,0.0666666666666667,0.0952380952380952,30,21,Pakistan,Southern Asia
O1.v2,BAPP,3,2,0.1,0.0952380952380952,30,21,Pakistan,Southern Asia
O3b,BARK,2,2,0.133333333333333,0.166666666666667,15,12,Rwanda,Eastern Africa
O1.v2,BARK,2,2,0.133333333333333,0.166666666666667,15,12,Rwanda,Eastern Africa
O1.v2,BAZAT,2,2,0.166666666666667,0.166666666666667,12,12,South Africa,Southern Africa
O1.v2,SPINZ_Lusaka,8,2,0.027972027972028,0.0714285714285714,286,28,Zambia,Eastern Africa
OL13,SPINZ_Lusaka,10,2,0.034965034965035,0.0714285714285714,286,28,Zambia,Eastern Africa
O4,HOSPITAL 1,2,2,0.04,0.0625,50,32,South Africa,Southern Africa
O2a.v1,AIIMSJP,2,2,0.0588235294117647,0.0952380952380952,34,21,India,Southern Asia
OL13,AIIMSKM,2,2,0.0952380952380952,0.117647058823529,21,17,India,Southern Asia
O5,AIIMSKM,3,2,0.142857142857143,0.117647058823529,21,17,India,Southern Asia
O1.v2,AKU_Quetta,2,2,0.2,0.222222222222222,10,9,Pakistan,Southern Asia
OL13,AKU_Hyderabaad,8,2,0.615384615384615,0.285714285714286,13,7,Pakistan,Southern Asia
OL13,AKU_Karachi,3,2,0.0882352941176471,0.0666666666666667,34,30,Pakistan,Southern Asia
O3/O3a,AKU_Karachi,2,2,0.0588235294117647,0.0666666666666667,34,30,Pakistan,Southern Asia
O2a.v1,AKU_Hyderabaad,2,2,0.153846153846154,0.285714285714286,13,7,Pakistan,Southern Asia
O1.v1,AKU_Hyderabaad,2,2,0.153846153846154,0.285714285714286,13,7,Pakistan,Southern Asia
O2a.v1,AIDH2,5,2,0.147058823529412,0.166666666666667,34,12,India,Southern Asia
O1.v1,MBTygerberg Hospital,2,2,0.2,0.222222222222222,10,9,South Africa,Southern Africa
O2afg.v2,MBTygerberg Hospital,2,2,0.2,0.222222222222222,10,9,South Africa,Southern Africa
O1.v1,MBKorle Bu Hospital,6,2,0.230769230769231,0.117647058823529,26,17,Ghana,Western Africa
O3b,MBUniversity Teaching Hospital,2,2,0.117647058823529,0.166666666666667,17,12,Zambia,Eastern Africa
O2a.v1,MBUniversity Teaching Hospital,3,2,0.176470588235294,0.166666666666667,17,12,Zambia,Eastern Africa
O1.v1,MBUniversity Teaching Hospital,2,2,0.117647058823529,0.166666666666667,17,12,Zambia,Eastern Africa
O2afg.v2,MBHiwot Fana Hospital,13,2,0.419354838709677,0.153846153846154,31,13,Ethiopia,Eastern Africa
O1.v1,MBQueen Elizabeth Central Hospital,2,2,0.0952380952380952,0.117647058823529,21,17,Malawi,Eastern Africa
O2afg.v2,MBQueen Elizabeth Central Hospital,2,2,0.0952380952380952,0.117647058823529,21,17,Malawi,Eastern Africa
O1.v1,MBKilimanjaro Christian Medical Centre,2,2,0.0344827586206897,0.25,58,8,Tanzania,Eastern Africa
O5,BGHOSPITAL 1,2,1,0.0588235294117647,0.0714285714285714,34,14,South Africa,Southern Africa
O3b,BGHOSPITAL 5,1,1,0.0476190476190476,0.0714285714285714,21,14,South Africa,Southern Africa
O3/O3a,BGHOSPITAL 4,2,1,0.0909090909090909,0.0909090909090909,22,11,South Africa,Southern Africa
O4,BGHOSPITAL 3,2,1,0.0833333333333333,0.05,24,20,South Africa,Southern Africa
O5,BGHOSPITAL 5,2,1,0.0952380952380952,0.0714285714285714,21,14,South Africa,Southern Africa
