locus,Site,raw_count,adj_count,raw_prop,adj_prop,raw_sum,adj_sum,Country,Region
O3b,AKU_Quetta,1,1,0.1,0.111111111111111,10,9,Pakistan,Southern Asia
O3/O3a,AKU_Hyderabaad,1,1,0.0769230769230769,0.142857142857143,13,7,Pakistan,Southern Asia
OL13,AKU_Quetta,1,1,0.1,0.111111111111111,10,9,Pakistan,Southern Asia
O2a.v1,AKU_Karachi,1,1,0.03125,0.0357142857142857,32,28,Pakistan,Southern Asia
O3/O3a,AKU_Quetta,2,1,0.2,0.111111111111111,10,9,Pakistan,Southern Asia
O4,AKU_Quetta,1,1,0.1,0.111111111111111,10,9,Pakistan,Southern Asia
O1.v1,AIDH2,2,1,0.0303030303030303,0.0909090909090909,66,11,India,Southern Asia
OL103,AIDH2,12,1,0.181818181818182,0.0909090909090909,66,11,India,Southern Asia
O3/O3a,AIDH2,10,1,0.151515151515152,0.0909090909090909,66,11,India,Southern Asia
O4,AIDH2,12,1,0.181818181818182,0.0909090909090909,66,11,India,Southern Asia
O3b,AIDH2,2,1,0.0303030303030303,0.0909090909090909,66,11,India,Southern Asia
O3/O3a,MBKorle Bu Hospital,1,1,0.0454545454545455,0.0769230769230769,22,13,Ghana,Western Africa
O3b,MBUniversity Teaching Hospital,1,1,0.0625,0.0909090909090909,16,11,Zambia,Eastern Africa
OL104,MBUniversity Teaching Hospital,1,1,0.0625,0.0909090909090909,16,11,Zambia,Eastern Africa
O1.v2,MBUniversity Teaching Hospital,1,1,0.0625,0.0909090909090909,16,11,Zambia,Eastern Africa
O2afg.v2,MBUniversity Teaching Hospital,2,1,0.125,0.0909090909090909,16,11,Zambia,Eastern Africa
O1.v1,MBHiwot Fana Hospital,1,1,0.0384615384615385,0.125,26,8,Ethiopia,Eastern Africa
O4,MBHiwot Fana Hospital,1,1,0.0384615384615385,0.125,26,8,Ethiopia,Eastern Africa
OL13,MBHiwot Fana Hospital,1,1,0.0384615384615385,0.125,26,8,Ethiopia,Eastern Africa
O2afg.v2,MBQueen Elizabeth Central Hospital,1,1,0.05,0.0625,20,16,Malawi,Eastern Africa
O2afg.v2,MBKilimanjaro Christian Medical Centre,1,1,0.0175438596491228,0.142857142857143,57,7,Tanzania,Eastern Africa
