locus,Site,raw_count,adj_count,raw_prop,adj_prop,raw_sum,adj_sum,Start,End,cases,numClusters,Country,Study,Region
KL15,CHRFKWMCH,8,2,0.5,0.2,16,10,2014,2020,17,11,Bangladesh,CHRF,Southern Asia
KL54,CHRFDSH,9,2,0.0354330708661417,0.025974025974026,254,77,2013,2021,254,77,Bangladesh,CHRF,Southern Asia
KL122,CHRFDSH,5,2,0.0196850393700787,0.025974025974026,254,77,2013,2021,254,77,Bangladesh,CHRF,Southern Asia
KL36,CHRFDSH,6,2,0.0236220472440945,0.025974025974026,254,77,2013,2021,254,77,Bangladesh,CHRF,Southern Asia
KL17,CHRFDSH,3,2,0.0118110236220472,0.025974025974026,254,77,2013,2021,254,77,Bangladesh,CHRF,Southern Asia
KL128,BABC,2,2,0.153846153846154,0.2,13,10,2016,2017,17,14,Bangladesh,BARNARDS,Southern Asia
KL24,BAES,3,2,0.032967032967033,0.1,91,20,2017,2017,94,20,Ethiopia,BARNARDS,Eastern Africa
KL15,BAES,26,2,0.285714285714286,0.1,91,20,2017,2017,94,20,Ethiopia,BARNARDS,Eastern Africa
KL39,BAES,8,2,0.0879120879120879,0.1,91,20,2017,2017,94,20,Ethiopia,BARNARDS,Eastern Africa
KL62,BANN,2,2,0.0606060606060606,0.0833333333333333,33,24,2016,2017,34,25,Nigeria,BARNARDS,Western Africa
KL2,BANN,2,2,0.0606060606060606,0.0833333333333333,33,24,2016,2017,34,25,Nigeria,BARNARDS,Western Africa
KL116,BANN,3,2,0.0909090909090909,0.0833333333333333,33,24,2016,2017,34,25,Nigeria,BARNARDS,Western Africa
KL34,BAPP,2,2,0.0666666666666667,0.1,30,20,2016,2017,30,20,Pakistan,BARNARDS,Southern Asia
KL136,BAPP,3,2,0.1,0.1,30,20,2016,2017,30,20,Pakistan,BARNARDS,Southern Asia
KL117,BAPP,4,2,0.133333333333333,0.1,30,20,2016,2017,30,20,Pakistan,BARNARDS,Southern Asia
KL2,BARK,2,2,0.142857142857143,0.181818181818182,14,11,2016,2017,15,11,Rwanda,BARNARDS,Eastern Africa
KL62,BARK,3,2,0.214285714285714,0.181818181818182,14,11,2016,2017,15,11,Rwanda,BARNARDS,Eastern Africa
